13.214.146.181:443#SG新加坡|13.214.146.181
152.42.232.186:443#SG新加坡|152.42.232.186
5.34.177.86:443#SG新加坡|5.34.177.86
168.144.47.94:443#SG新加坡|168.144.47.94
167.71.195.238:443#SG新加坡|167.71.195.238
149.28.129.123:443#SG新加坡|149.28.129.123
13.250.19.142:443#SG新加坡|13.250.19.142
43.160.220.86:443#SG新加坡|43.160.220.86
188.253.125.115:443#SG新加坡|188.253.125.115
47.129.124.49:443#SG新加坡|47.129.124.49
