158.94.216.146:443#TR土耳其|158.94.216.146
130.94.1.177:443#TR土耳其|130.94.1.177
194.87.129.221:443#TR土耳其|194.87.129.221
37.221.79.43:443#TR土耳其|37.221.79.43
203.202.232.110:443#TR土耳其|203.202.232.110
155.103.71.80:443#TR土耳其|155.103.71.80
84.32.230.201:443#TR土耳其|84.32.230.201
78.135.77.252:443#TR土耳其|78.135.77.252
141.98.118.80:443#TR土耳其|141.98.118.80
130.94.0.228:443#TR土耳其|130.94.0.228
